task,team,user,is_user_with_correct_submission,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals
vbs23-kis-v1,CVHunter,1,0,1673259626784,13471,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip",
vbs23-kis-v1,CVHunter,1,0,1673259628298,14985,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip",
vbs23-kis-v1,CVHunter,0,0,1673259628480,15167,,inf,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on a stadion,
vbs23-kis-v1,CVHunter,0,0,1673259630309,16996,,inf,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on a stadion,
vbs23-kis-v1,CVHunter,1,0,1673259634686,21373,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american",
vbs23-kis-v1,CVHunter,1,0,1673259636275,22962,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american",
vbs23-kis-v1,CVHunter,0,0,1673259639949,26636,,2762.0,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259641754,28441,,2762.0,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on an indoor hall,
vbs23-kis-v1,CVHunter,1,0,1673259649162,35849,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american shirt",
vbs23-kis-v1,CVHunter,1,0,1673259650584,37271,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american shirt",
vbs23-kis-v1,CVHunter,1,0,1673259657191,43878,,1241.0,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259658637,45324,,1241.0,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,0,0,1673259660733,47420,,576.0,inf,inf,TEXT,JointEmbedding,Temporal CLIP: man making salto on an indoor hall > man dancing in an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259663341,50028,,576.0,inf,inf,TEXT,JointEmbedding,Temporal CLIP: man making salto on an indoor hall > man dancing in an indoor hall,
vbs23-kis-v1,CVHunter,1,0,1673259666060,52747,,1172.0,8404.0,8404.0,TEXT,JointEmbedding,"CLIP: black man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259667464,54151,,1172.0,8404.0,8404.0,TEXT,JointEmbedding,"CLIP: black man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259676522,63209,,4257.0,inf,inf,IMAGE,JointEmbedding,14556:4540 : rows=True,
vbs23-kis-v1,CVHunter,1,0,1673259682958,69645,,inf,inf,inf,BROWSING,SimilarityDetailClose,14556:4540,1673259667464
vbs23-kis-v1,CVHunter,0,0,1673259685387,72074,,174.0,9614.0,9614.0,TEXT,JointEmbedding,Temporal CLIP: man in blue dress jumping in an indoor hall > man dancing in an indoor hall,
